0.095 (+/-0.182) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.01, 'max_iter': 600, 'solver': 'lbfgs'}
0.079 (+/-0.097) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.01, 'max_iter': 600, 'solver': 'sgd'}
0.069 (+/-0.120) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.05, 'max_iter': 100, 'solver': 'adam'}
0.026 (+/-0.054) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.05, 'max_iter': 100, 'solver': 'lbfgs'}
0.054 (+/-0.147) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.05, 'max_iter': 100, 'solver': 'sgd'}
0.073 (+/-0.098) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.05, 'max_iter': 400, 'solver': 'adam'}
0.077 (+/-0.109) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.05, 'max_iter': 400, 'solver': 'lbfgs'}
0.037 (+/-0.069) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.05, 'max_iter': 400, 'solver': 'sgd'}
0.036 (+/-0.067) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.05, 'max_iter': 600, 'solver': 'adam'}
0.071 (+/-0.134) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.05, 'max_iter': 600, 'solver': 'lbfgs'}
0.035 (+/-0.046) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.05, 'max_iter': 600, 'solver': 'sgd'}
0.024 (+/-0.046) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.1, 'max_iter': 100, 'solver': 'adam'}
0.057 (+/-0.118) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.1, 'max_iter': 100, 'solver': 'lbfgs'}
0.035 (+/-0.074) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.1, 'max_iter': 100, 'solver': 'sgd'}
0.014 (+/-0.028) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.1, 'max_iter': 400, 'solver': 'adam'}
0.046 (+/-0.069) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.1, 'max_iter': 400, 'solver': 'lbfgs'}
0.028 (+/-0.052) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.1, 'max_iter': 400, 'solver': 'sgd'}
0.032 (+/-0.076) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.1, 'max_iter': 600, 'solver': 'adam'}
0.074 (+/-0.094) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.1, 'max_iter': 600, 'solver': 'lbfgs'}
0.034 (+/-0.064) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.1, 'max_iter': 600, 'solver': 'sgd'}
0.020 (+/-0.054) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.15, 'max_iter': 100, 'solver': 'adam'}
0.019 (+/-0.037) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.15, 'max_iter': 100, 'solver': 'lbfgs'}
0.038 (+/-0.072) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.15, 'max_iter': 100, 'solver': 'sgd'}
0.011 (+/-0.032) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.15, 'max_iter': 400, 'solver': 'adam'}
0.043 (+/-0.051) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.15, 'max_iter': 400, 'solver': 'lbfgs'}
0.020 (+/-0.047) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.15, 'max_iter': 400, 'solver': 'sgd'}
0.009 (+/-0.021) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.15, 'max_iter': 600, 'solver': 'adam'}
0.074 (+/-0.120) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.15, 'max_iter': 600, 'solver': 'lbfgs'}
0.034 (+/-0.062) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.15, 'max_iter': 600, 'solver': 'sgd'}
0.013 (+/-0.033) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.2, 'max_iter': 100, 'solver': 'adam'}
0.032 (+/-0.049) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.2, 'max_iter': 100, 'solver': 'lbfgs'}
0.026 (+/-0.046) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.2, 'max_iter': 100, 'solver': 'sgd'}
0.003 (+/-0.004) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.2, 'max_iter': 400, 'solver': 'adam'}
0.067 (+/-0.141) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.2, 'max_iter': 400, 'solver': 'lbfgs'}
0.013 (+/-0.047) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.2, 'max_iter': 400, 'solver': 'sgd'}
0.006 (+/-0.009) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.2, 'max_iter': 600, 'solver': 'adam'}
0.071 (+/-0.140) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.2, 'max_iter': 600, 'solver': 'lbfgs'}
0.015 (+/-0.034) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'adaptive', 'learning_rate_init': 0.2, 'max_iter': 600, 'solver': 'sgd'}
0.101 (+/-0.147) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.01, 'max_iter': 100, 'solver': 'adam'}
0.030 (+/-0.064) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.01, 'max_iter': 100, 'solver': 'lbfgs'}
0.089 (+/-0.098) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.01, 'max_iter': 100, 'solver': 'sgd'}
0.082 (+/-0.163) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.01, 'max_iter': 400, 'solver': 'adam'}
0.043 (+/-0.094) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.01, 'max_iter': 400, 'solver': 'lbfgs'}
0.057 (+/-0.073) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.01, 'max_iter': 400, 'solver': 'sgd'}
0.091 (+/-0.094) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.01, 'max_iter': 600, 'solver': 'adam'}
0.019 (+/-0.063) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.01, 'max_iter': 600, 'solver': 'lbfgs'}
0.068 (+/-0.121) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.01, 'max_iter': 600, 'solver': 'sgd'}
0.033 (+/-0.074) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.05, 'max_iter': 100, 'solver': 'adam'}
0.058 (+/-0.112) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.05, 'max_iter': 100, 'solver': 'lbfgs'}
0.035 (+/-0.073) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.05, 'max_iter': 100, 'solver': 'sgd'}
0.050 (+/-0.122) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.05, 'max_iter': 400, 'solver': 'adam'}
0.077 (+/-0.067) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.05, 'max_iter': 400, 'solver': 'lbfgs'}
0.046 (+/-0.097) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.05, 'max_iter': 400, 'solver': 'sgd'}
0.035 (+/-0.057) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.05, 'max_iter': 600, 'solver': 'adam'}
0.047 (+/-0.098) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.05, 'max_iter': 600, 'solver': 'lbfgs'}
